video_id,views,likes,comments,keyword,engagement_rate
jNQXAC9IVRw,371756579,18219740,10454527,yt,0.07713183469982383
aBfUFr9SBY0,5695141,176214,17330,yt,0.03398405763790572
684PCvBxBHY,691456,38975,3410,yt,0.06129818817104776
LeAltgu_pbM,6005212,248666,38478,yt,0.04781579734404048
rdwz7QiG0lk,3872564,106006,28951,yt,0.03484952088590402
Wz1W_omigwg,42375710,73610,13501,yt,0.0020556823708676505
VaLXzI92t9M,3728761,102966,18085,yt,0.03246413486946468
_r0n9Dv6XnY,394002682,1808727,63556,yt,0.004751954962580686
9_wU0qhEPR8,5480216,248684,35307,yt,0.05182113259769323
Acnkz1_Sm6A,377,4,4,yt,0.021220159151193633
QjA5faZF1A8,95263798,728288,133600,yt,0.00904738230151185
TE4EEwQAfxo,3617469,222013,7394,yt,0.0634164383993339
fNCtWaGMW4w,2657290,162810,14581,yt,0.06675635704044346
-anabfAg06U,7414480,107942,8331,yt,0.015681881939124523
OYecfV3ubP8,11568879,22831,6646,yt,0.0025479564614687387
qFyIT7rVZ0Q,1174994,5521,0,yt,0.004698747397859053
jhxIjRO6WjI,20699908,89080,4678,yt,0.004529392111307934
NHuGG_FsC20,18741140,85110,15125,yt,0.005348393961093082
m1TnzCiUSI0,33996053,207024,11923,yt,0.006440365297700883
Jz5GURwssEg,29268,84,32,yt,0.003963372967063004
3zhBhOFcKwU,4683409,28548,2365,yt,0.006600533927316619
725iONdAu9Q,14630282,73366,5825,yt,0.005412814325793583
PSTHMxBttlU,8565651,31208,2291,yt,0.003910852776980991
4mtfnfQoAco,82861755,630771,27372,yt,0.007942663053660884
z6WMbV5Op58,15615413,259372,10160,yt,0.017260638575489484
GPX061Jvl1A,2625539,5326,939,yt,0.0023861767050498963
gRlj5vjp3Ko,17865152,38290,3545,yt,0.0023417097150922645
ipzR9bhei_o,31003807,128785,15322,yt,0.004648042093669335
UMf40daefsI,34753994,439249,62551,yt,0.014438628262409207
2i5RlAHHGXI,838,5,1,yt,0.007159904534606206
D2kJZOfq7zk,42216634,189401,32771,yt,0.005262664948607698
afgSUDS7djY,1126241,1651,228,yt,0.0016683818117081512
N2rZxCrb7iU,15587141,66403,12173,yt,0.00504107841200641
GJd0fvUzmns,181780,556,90,yt,0.0035537462867202114
MfzpWE2n8ZY,6031279,39198,9500,yt,0.008074240969452747
LlvUepMa31o,28256365,91795,11350,yt,0.0036503279880480024
JsnD5Jb9V7w,808,16,9,yt,0.03094059405940594
KQwPao3Shk4,1148200,3190,460,yt,0.003178888695349242
lkFMJ4-ai1I,12132767,89941,7223,yt,0.008008395776495172
UGaUKf43r6s,746763,9852,3064,yt,0.017295982795076884
DA3E2X3kQNQ,5418384,8249,772,yt,0.0016648875384247407
kGiYxCUAhks,29076746,308273,20009,yt,0.011290190449784169
i0fAEJQtqnU,12268377,97046,5213,yt,0.008335169354512012
Q9JMwIQKwtc,4872008,25568,3495,yt,0.005965302191622017
MhrkXsMCEK8,1494405,5705,612,yt,0.004227100417892071
3yM3XJZDV0Y,1641957,6960,577,yt,0.0045902541905786815
